+------------------------------------------------------+--------------------------------+----------+----------------+------------------------+------------------------+---------------+
|                         TYPE                         |          DESCRIPTION           |  FILES   | VOLUMN (BYTE)  |       BEGIN DATE       |        END DATE        | ROLLING DAYS  |
| HIRS                                                 | NESDIS High Resolution         | 911249   | 3695446400344  | 1978-10-21 11:37:06+00 | 2025-08-02 01:06:24+00 | All           |
|                                                      | Infrared Radiation Sounder     |          |                |                        |                        |               |
|                                                      | Level 1B                       |          |                |                        |                        |               |
| HISA_AFX                                             | HISA Tropical Cyclone AFX file | 6226     | 9033926        | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
|                                                      |                                |          |                |                        |                        |               |
| HISA_FIX                                             | HISA Tropical Cyclone FIX file | 3758     | 1639662        | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
| HISA_RZA                                             | HISA Tropical Cyclone RZA file | 6225     | 260699169      | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:09+00 | 90            |
| HISA_STA                                             | HISA Tropical Cyclone STA file | 4877     | 5564657        | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
|                                                      |                                |          |                |                        |                        |               |
| HISA_T                                               | HISA TC product in PNG         | 4262     | 5270132365     | 2025-04-28 00:28:00+00 | 2025-08-01 18:04:02+00 | 90            |
| HISA_UVZ_200MB                                       | HISA winds distribution image  | 4320     | 2747247684     | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
|                                                      | of tropical cyclone at 200mb   |          |                |                        |                        |               |
| HISA_UVZ_250MB                                       | HISA winds distribution image  | 4317     | 2748891631     | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
|                                                      | of tropical cyclone at 250mb   |          |                |                        |                        |               |
| HISA_UVZ_300MB                                       | HISA winds distribution image  | 4320     | 2748424882     | 2025-04-28 00:28:00+00 | 2025-08-01 21:44:54+00 | 90            |
|                                                      | of tropical cyclone at 300mb   |          |                |                        |                        |               |
| HISA_UVZ_400MB                                       | HISA winds distribution image  | 4316     | 2730113916     | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
|                                                      | of tropical cyclone at 400mb   |          |                |                        |                        |               |
| HISA_UVZ_500MB                                       | HISA winds distribution image  | 4317     | 2785344813     | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:09+00 | 90            |
|                                                      | of tropical cyclone at 500mb   |          |                |                        |                        |               |
| HISA_UVZ_600MB                                       | HISA winds distribution image  | 4319     | 2771285779     | 2025-04-28 00:28:00+00 | 2025-08-01 21:17:10+00 | 90            |
|                                                      | of tropical cyclone at 600mb   |          |                |                        |                        |               |
| HISA_UVZ_700MB                                       | HISA winds distribution image  | 4317     | 2770503221     | 2025-04-28 00:28:00+00 | 2025-08-01 21:44:54+00 | 90            |
|                                                      | of tropical cyclone at 700mb   |          |                |                        |                        |               |
| HISA_UVZ_850MB                                       | HISA winds distribution image  | 4322     | 2727932893     | 2025-04-28 00:28:00+00 | 2025-08-01 21:44:54+00 | 90            |
|                                                      | of tropical cyclone at 850mb   |          |                |                        |                        |               |
| HISA_XYA                                             | HISA Tropical Cyclone XYA file | 6220     | 5227684555     | 2025-04-28 00:28:00+00 | 2025-08-01 21:44:54+00 | 90            |
|                                                      |                                |          |                |                        |                        |               |
| HRPT                                                 | AVHRR-3 HRPT Level 1b High     | 9690     | 405861007360   | 2025-04-27 22:50:12+00 | 2025-08-02 02:39:15+00 | 90            |
|                                                      | Resolution data                |          |                |                        |                        |               |
| IASI-1C                                              | Infrared Atmospheric Sounding  | 489410   | 30155442802813 | 2024-03-04 16:50:54+00 | 2025-08-02 02:02:53+00 | All           |
|                                                      | Interferometer Level 1C        |          |                |                        |                        |               |
|                                                      | granules                       |          |                |                        |                        |               |
| IASI-CCR                                             | Infrared Atmospheric Sounding  | 42307    | 970940410196   | 2023-01-25 14:08:53+00 | 2023-04-25 14:11:53+00 | 90            |
|                                                      | Interferometer Level 1C        |          |                |                        |                        |               |
|                                                      | cloud-cleared radiance         |          |                |                        |                        |               |
|                                                      | granules                       |          |                |                        |                        |               |
| IASI_EUL2                                            | IASI EUMETSAT Level 2 Granule  | 119725   | 2119387756991  | 2025-03-28 22:26:53+00 | 2025-08-02 01:59:53+00 | 120           |
|                                                      | Data                           |          |                |                        |                        |               |
| IASI-L2                                              | Infrared Atmospheric Sounding  | 42307    | 696738996056   | 2023-01-25 14:08:53+00 | 2023-04-25 14:11:53+00 | 90            |
|                                                      | Interferometer Level 2         |          |                |                        |                        |               |
|                                                      | granules                       |          |                |                        |                        |               |
| ICDBG                                                | VIIRS Un-Aggregated 750m       | 364084   | 12738598635297 | 2025-04-01 21:21:45+00 | 2025-08-02 02:10:40+00 | 120           |
|                                                      | Dual-Gain Band Geo RIP in HDF5 |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| IGDR                                                 | Jason Interim Geophysical Data | 336      | 1671451514     | 2025-07-18 22:25:57+00 | 2025-07-31 23:35:50+00 | 7             |
|                                                      | Record (netCDF)                |          |                |                        |                        |               |
| IVBPX                                                | VIIRS Bright Pixel RIP in HDF5 | 357615   | 1643920149437  | 2025-04-01 21:14:38+00 | 2025-08-02 01:55:02+00 | 120           |
|                                                      | format                         |          |                |                        |                        |               |
| IVCDB                                                | VIIRS Calibrated Dual-Gain     | 364390   | 19845327915438 | 2025-04-01 19:09:28+00 | 2025-08-02 02:00:44+00 | 120           |
|                                                      | Band RIP in HDF5 format        |          |                |                        |                        |               |
| IVOBC                                                | VIIRS On-board Calibrator RIP  | 357534   | 1366985830928  | 2025-04-01 22:15:49+00 | 2025-08-02 01:55:02+00 | 120           |
|                                                      | in HDF5 format                 |          |                |                        |                        |               |
| JPSSRR-ADP                                           | JPSS Risk Reduction VIIRS      | 205325   | 1750356911130  | 2025-03-28 22:40:16+00 | 2025-08-02 01:47:55+00 | 120           |
|                                                      | Aerosol Detection and          |          |                |                        |                        |               |
|                                                      | Identification                 |          |                |                        |                        |               |
| JPSSRR-AOD                                           | JPSS Risk Reduction VIIRS      | 205325   | 9455783013562  | 2025-03-28 22:40:16+00 | 2025-08-02 01:50:46+00 | 120           |
|                                                      | Aerosol Optical Depth          |          |                |                        |                        |               |
| JPSSRR-CLOUDBASE                                     | JPSS Risk Reduction VIIRS      | 379564   | 10103324369477 | 2025-03-28 22:40:16+00 | 2025-08-02 01:46:30+00 | 120           |
|                                                      | Daytime Cloud Base Product     |          |                |                        |                        |               |
| JPSSRR-CLOUDCOVERLAYERS                              | JPSS Risk Reduction VIIRS      | 127581   | 3083773395409  | 2025-03-28 22:33:11+00 | 2025-08-02 01:55:02+00 | 120           |
|                                                      | Cloud Cover Layers             |          |                |                        |                        |               |
| JPSSRR-CLOUDDCOMP                                    | JPSS Risk Reduction VIIRS      | 379612   | 9347571077939  | 2025-03-28 22:40:16+00 | 2025-08-02 01:50:46+00 | 120           |
|                                                      | Daytime Cloud Microphysics     |          |                |                        |                        |               |
|                                                      | Product                        |          |                |                        |                        |               |
| JPSSRR-CLOUDHEIGHT                                   | JPSS Risk Reduction VIIRS      | 380622   | 23278448723715 | 2025-03-28 22:40:16+00 | 2025-08-02 01:55:02+00 | 120           |
|                                                      | Cloud Height Product           |          |                |                        |                        |               |
| JPSSRR-CLOUDMASK                                     | JPSS Risk Reduction VIIRS      | 380627   | 14793989289573 | 2025-03-28 22:40:16+00 | 2025-08-02 01:53:36+00 | 120           |
|                                                      | moderate resolution cloud mask |          |                |                        |                        |               |
| JPSSRR-CLOUDNCOMP                                    | JPSS Risk Reduction VIIRS      | 185259   | 4082528748414  | 2025-03-28 22:38:51+00 | 2025-08-02 01:52:10+00 | 120           |
|                                                      | Nighttime Cloud Microphysics   |          |                |                        |                        |               |
|                                                      | Product                        |          |                |                        |                        |               |
| JPSSRR-CLOUDPHASE                                    | JPSS Risk Reduction VIIRS      | 380668   | 3101218658331  | 2025-03-28 22:40:16+00 | 2025-08-02 01:55:02+00 | 120           |
|                                                      | Cloud Phase Product            |          |                |                        |                        |               |
| JPSSRR-ICEAGE                                        | JPSS Risk Reduction VIIRS      | 380528   | 2833590971047  | 2025-03-28 22:40:16+00 | 2025-08-02 01:50:46+00 | 120           |
|                                                      | Cryosphere Ice Age             |          |                |                        |                        |               |
| JPSSRR-ICECONCENTRATION                              | JPSS Risk Reduction VIIRS      | 380598   | 2923336796423  | 2025-03-28 22:40:16+00 | 2025-08-02 01:52:10+00 | 120           |
|                                                      | Cryosphere Ice Concentration   |          |                |                        |                        |               |
| JPSSRR-SNOWCOVER                                     | JPSS Risk Reduction VIIRS Snow | 205348   | 5021174081683  | 2025-03-28 22:40:16+00 | 2025-08-02 01:35:06+00 | 120           |
|                                                      | Cover Product                  |          |                |                        |                        |               |
| JPSSRR-VOLCANICASH                                   | JPSS Risk Reduction VIIRS      | 380617   | 22394590308265 | 2025-03-28 22:40:16+00 | 2025-08-02 01:52:10+00 | 120           |
|                                                      | Volcanic Ash Product           |          |                |                        |                        |               |
| LTOAST_BLENDED_BIN                                   | LTOAST Blended CrIS OMPS LP    | 37       | 9643680        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | (bin)                          |          |                |                        |                        |               |
| LTOAST_BLENDED_GRB                                   | LTOAST Blended CrIS OMPS LP    | 37       | 3619488        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | (grb)                          |          |                |                        |                        |               |
| LTOAST_CRIS_FTLS_IMAGERY_BIN                         | LTOAST CrIS Full Troposphere   | 37       | 9643680        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | and Lower Stratosphere With    |          |                |                        |                        |               |
|                                                      | Date (bin)                     |          |                |                        |                        |               |
| LTOAST_CRIS_FTLS_IMAGERY_HEMIS_PNG                   | LTOAST CrIS Full Troposphere   | 74       | 1299053        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | and Lower Stratosphere         |          |                |                        |                        |               |
|                                                      | Hemisphere With Date (png)     |          |                |                        |                        |               |
| LTOAST_CRIS_FTLS_IMAGERY_PNG                         | LTOAST CrIS Full Troposphere   | 37       | 771535         | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | and Lower Stratosphere With    |          |                |                        |                        |               |
|                                                      | Date (png)                     |          |                |                        |                        |               |
| LTOAST_CRIS_IMAGERY_CHANNEL_PNG                      | LTOAST CrIs Imagery With Date  | 481      | 9674431        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | and Channel (png)              |          |                |                        |                        |               |
| LTOAST_CRIS_IMAGERY_HEMIS_PNG                        | LTOAST CrIS Hemisphere         | 74       | 1348847        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | Specific Imagery With Date     |          |                |                        |                        |               |
|                                                      | (png)                          |          |                |                        |                        |               |
| LTOAST_CRIS_IMAGERY_PNG                              | LTOAST CrIS Imagery With Date  | 37       | 822111         | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | (png)                          |          |                |                        |                        |               |
| LTOAST_IMAGERY_HEMIS_PNG                             | LTOAST Hemisphere Specific     | 74       | 1304340        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | Imagery With Date (png)        |          |                |                        |                        |               |
| LTOAST_IMAGERY_PNG                                   | LTOAST Blended Total Ozone     | 37       | 787583         | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | Imagery With Date (png)        |          |                |                        |                        |               |
| LTOAST_J01_CRIS_BIN                                  | LTOAST IR SNP CrIS (bin)       | 37       | 125367840      | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
| LTOAST_OMPS_LP_IMAGERY_CHANNEL_PNG                   | LTOAST OMPS Imagery With Date  | 518      | 9280538        | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | And Channel (png)              |          |                |                        |                        |               |
| LTOAST_OMPS_LP_IMAGERY_HEMIS_CHANNEL_PNG             | LTOAST OMPS Imagery With       | 666      | 11439831       | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | Date - Hemisphere Specific -   |          |                |                        |                        |               |
|                                                      | Channel (png)                  |          |                |                        |                        |               |
| LTOAST_SNP_OMPS_LP_BIN                               | LTOAST UV SNP OMPS LP (bin)    | 37       | 125367840      | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
| LTOAST_ZONAL_MEANS_PNG                               | LTOAST Imagery - Zonal Mean    | 37       | 256823         | 2025-06-25 00:00:00+00 | 2025-07-31 23:59:59+00 | 30            |
|                                                      | analysis in png format from    |          |                |                        |                        |               |
|                                                      | SNPP with date                 |          |                |                        |                        |               |
| METOP_AMSUA_LEVEL_1A_NCS_AA1H                        | AMSU-A Level 1a HRPT (AA1H)    | 2504     | 465400856      | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | PPP Input                      |          |                |                        |                        |               |
| METOP_AMSUA_LEVEL_1A_NCS_AA1X                        | AMSU-A Level 1a FRAC (AA1X)    | 4316     | 4450776660     | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | PPP Input                      |          |                |                        |                        |               |
| METOP_AMSUA_LEVEL_1A_NCS_AA2H                        | AMSU-A Level 1a HRPT (AA2H)    | 2504     | 255319248      | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | PPP Input                      |          |                |                        |                        |               |
| METOP_AMSUA_LEVEL_1A_NCS_AA2X                        | AMSU-A Level 1a FRAC (AA2X)    | 4316     | 2429963588     | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | PPP Input                      |          |                |                        |                        |               |
| METOP_AVHRR3_LEVEL_1A_NCS_FRAC                       | AVHRR-3 FRAC Level 1a PPP      | 4316     | 1311928740653  | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_AVHRR3_LEVEL_1A_NCS_HRPT                       | AVHRR-3 HRPT Level 1a PPP      | 2504     | 136942723306   | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_HIRS4_LEVEL_1A_NCS_HIRH                        | HIRS-4 HRPT Level 1a (HIRH)    | 2504     | 641651882      | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | PPP Input                      |          |                |                        |                        |               |
| METOP_HIRS4_LEVEL_1A_NCS_HIRX                        | HIRS-4 FRAC Level 1a (HIRX)    | 4316     | 6150212126     | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | PPP Input                      |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_ADMH                              | METOP FRAC Level 1a (ADMH) PPP | 2505     | 440719639      | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_ADMX                              | METOP FRAC Level 1a (ADMX) PPP | 4315     | 4232309510     | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_DCSH                              | METOP HRPT Level 1a (DCSH) PPP | 2504     | 1625894019     | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_DCSX                              | METOP FRAC Level 1a (DCSX) PPP | 4316     | 15711274564    | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_SEMH                              | METOP HRPT Level 1a (SEMH) PPP | 2504     | 39458418       | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_SEMX                              | METOP HRPT Level 1a (SEMX) PPP | 4316     | 358199495      | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_TLMH                              | METOP HRPT Level 1a (TLMH) PPP | 2504     | 976470346      | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_LEVEL_1A_NCS_TLMX                              | METOP HRPT Level 1a (TLMX) PPP | 4316     | 9338178904     | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_MHS_LEVEL_1A_NCS_MHSH                          | MHS HRPT Level 1a (MHSH) PPP   | 2504     | 868699711      | 2025-04-27 22:26:00+00 | 2025-08-02 01:57:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| METOP_MHS_LEVEL_1A_NCS_MHSX                          | MHS FRAC Level 1a (MHSX) PPP   | 4316     | 8327506738     | 2025-04-27 21:34:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Input                          |          |                |                        |                        |               |
| MHS                                                  | NESDIS Microwave Humidity      | 445192   | 2670920918016  | 2005-05-25 16:10:52+00 | 2025-08-02 02:06:01+00 | All           |
|                                                      | Sounder Level 1B               |          |                |                        |                        |               |
| MHS-N1S                                              | MHS Level 1b* (MHSX) End       | 1960     | 16381322430    | 2025-04-27 21:01:00+00 | 2025-08-02 00:28:00+00 | 90            |
|                                                      | Product                        |          |                |                        |                        |               |
| MIRS_DEP_TMS                                         | MIRS DEP TMS                   | 36899    | 10373784860    | 2025-06-16 15:33:46+00 | 2025-06-23 15:33:55+00 | 7             |
| MIRS_EDR_TMS                                         | MIRS EDR TMS                   | 36899    | 164773665268   | 2025-06-16 15:33:46+00 | 2025-06-23 15:33:55+00 | 7             |
| MIRS_FMSDR_TMS                                       | MIRS FMSDR TMS                 | 36899    | 11571083612    | 2025-06-16 15:33:46+00 | 2025-06-23 15:33:55+00 | 7             |
| MIRS-IMG-HIGHRES                                     | MIRS Surface and Precipitation | 42201    | 416271252408   | 2025-03-28 21:05:09+00 | 2025-08-02 02:28:24+00 | 120           |
|                                                      | Product                        |          |                |                        |                        |               |
| MIRS-SND-HIGHRES                                     | MIRS Temperature and Moisture  | 42059    | 4956143147060  | 2025-03-28 21:05:09+00 | 2025-08-02 02:28:24+00 | 120           |
|                                                      | Profiles                       |          |                |                        |                        |               |
| MLD-PNG                                              | Mixed Layer Depth in PNG       | 43       | 11118000       | 2025-07-06 00:00:00+00 | 2025-08-01 00:00:00+00 | 7             |
|                                                      | format                         |          |                |                        |                        |               |
| MOD021KM                                             | MODIS/Terra Calibrated         | 4010     | 477011273518   | 2024-09-07 09:50:00+00 | 2024-09-21 09:55:00+00 | 14            |
|                                                      | Radiances 5-Min L1B Swath 1km  |          |                |                        |                        |               |
| MOD03                                                | MODIS/Terra Geolocation Fields | 4010     | 124008883441   | 2024-09-09 06:50:00+00 | 2024-09-23 06:55:00+00 | 14            |
|                                                      | 5-Min L1A Swath 1km            |          |                |                        |                        |               |
| MOE                                                  | Medium Precision Orbit         | 14       | 2188522        | 2025-07-17 21:55:23+00 | 2025-08-01 00:23:23+00 | 7             |
|                                                      | Ephemeris                      |          |                |                        |                        |               |
| MONTHLY_MDB_ARCHIVE_N19                              | Monthly MDB Archive N19        | 4        | 146991000      | 2022-10-02 00:00:00+00 | 2023-01-31 23:59:59+00 | 120           |
| MSG2                                                 | Meteosat-9 Observation         | 517270   | 367916473503   | 2025-06-15 20:00:00+00 | 2025-08-02 02:59:59+00 | 45            |
| MSG3                                                 | Meteosat-10 Observation        | 517247   | 356265416917   | 2025-06-15 20:00:00+00 | 2025-08-02 02:59:59+00 | 45            |
| MSG4                                                 | Meteosat-11 Observation        | 29297    | 19221131170    | 2024-08-17 17:30:00+00 | 2024-08-20 09:44:59+00 | 45            |
| MTCSWA                                               | Multiplatform Tropical         | 519      | 15854970575    | 2025-07-19 18:00:00+00 | 2025-08-02 00:00:00+00 | 7             |
|                                                      | Cyclone Surface Wind Analysis  |          |                |                        |                        |               |
|                                                      | algorithm output nc file       |          |                |                        |                        |               |
| MTG-FCI-L1C                                          | Meteosat Third Generation      | 3956560  | 57985023571263 | 2024-07-30 20:00:07+00 | 2025-08-02 02:49:04+00 | 365           |
|                                                      | Flexible Combined Imager L1C   |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| MTG-FCI-L2-CLM                                       | Meteosat Third Generation      | 11940    | 46210990643    | 2025-05-01 20:30:00+00 | 2025-08-02 02:40:00+00 | 365           |
|                                                      | Flexible Combined Imager Level |          |                |                        |                        |               |
|                                                      | 2 Clear/Cloud/Dust/Ashes Flag  |          |                |                        |                        |               |
|                                                      | (CLM) product                  |          |                |                        |                        |               |
| MTG-FCI-L2-OCA                                       | Meteosat Third Generation      | 11840    | 1988754949340  | 2025-05-01 20:30:00+00 | 2025-08-02 02:30:00+00 | 365           |
|                                                      | Flexible Combined Imager Level |          |                |                        |                        |               |
|                                                      | 2 Optimal Cloud Analysis (OCA) |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| MTG-LI-L2-AF                                         |  Meteosat Third Generation     | 722109   | 126001364090   | 2024-11-27 11:00:00+00 | 2025-08-02 02:51:00+00 | 365           |
|                                                      | Lightning Imager Level 2       |          |                |                        |                        |               |
|                                                      | Accumulated Flash (AF) product |          |                |                        |                        |               |
| MTG-LI-L2-AFA                                        |  Meteosat Third Generation     | 722092   | 165204263541   | 2024-11-27 11:00:00+00 | 2025-08-02 02:52:30+00 | 365           |
|                                                      | Lightning Imager Level 2       |          |                |                        |                        |               |
|                                                      | Accumulated Flash Area (AFA)   |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| MTG-LI-L2-AFR                                        | Meteosat Third Generation      | 722117   | 127618745251   | 2024-11-27 11:00:00+00 | 2025-08-02 02:53:00+00 | 365           |
|                                                      | Lightning Imager Level 2       |          |                |                        |                        |               |
|                                                      | Accumulated Flash Radiance     |          |                |                        |                        |               |
|                                                      | (AFR) product                  |          |                |                        |                        |               |
| MTG-LI-L2-LGR                                        | Meteosat Third Generation      | 2096479  | 218691515166   | 2024-11-27 11:00:09+00 | 2025-08-02 02:52:53+00 | 365           |
|                                                      | Lightning Imager Level 2       |          |                |                        |                        |               |
|                                                      | Groups (LGR) product           |          |                |                        |                        |               |
| MWCOMB                                               | Hourly composite of            | 2308     | 687454916      | 2025-04-27 20:00:00+00 | 2025-08-01 23:59:59+00 | 90            |
|                                                      | microwave rain rates from      |          |                |                        |                        |               |
|                                                      | AMSU-B/MHS on a ~1/8 degree    |          |                |                        |                        |               |
|                                                      | latitude/longitude grid        |          |                |                        |                        |               |
| MYD021KM                                             | MODIS/Aqua Calibrated          | 3986     | 449602079455   | 2024-09-08 21:50:00+00 | 2024-09-22 21:55:00+00 | 14            |
|                                                      | Radiances 5-Min L1B Swath 1km  |          |                |                        |                        |               |
| MYD02HKM                                             | MODIS/Aqua Calibrated          | 2194     | 275907380793   | 2024-09-07 16:35:00+00 | 2024-09-21 16:40:00+00 | 14            |
|                                                      | Radiances 5-Min L1B Swath 500m |          |                |                        |                        |               |
| MYD02QKM                                             | MODIS/Aqua Calibrated          | 2208     | 329194327977   | 2024-09-07 11:30:00+00 | 2024-09-21 11:35:00+00 | 14            |
|                                                      | Radiances 5-Min L1B Swath 250m |          |                |                        |                        |               |
| MYD03                                                | MODIS/Aqua Geolocation Fields  | 3995     | 123473332113   | 2024-09-07 10:40:00+00 | 2024-09-21 10:45:00+00 | 14            |
|                                                      | 5-Min L1A Swath 1km            |          |                |                        |                        |               |
| NCEP_NPP_OMPS_LP                                     | NCEP NPP OMPS LP bin file      | 384      | 8707995648     | 2025-04-28 00:00:00+00 | 2025-08-01 21:36:25+00 | 90            |
| NESDIS-IMS-V3-1KM-ASC-GZ                             | NESDIS IMS V3 (1km asc gz)     | 73       | 183958555      | 2025-06-27 00:00:00+00 | 2025-08-03 00:00:00+00 | 30            |
| NESDIS-IMS-V3-4KM-ASC-GZ                             | NESDIS IMS - V3 (4km asc gz)   | 73       | 28660889       | 2025-06-27 00:00:00+00 | 2025-08-03 00:00:00+00 | 30            |
| NISE                                                 | Near real time Snow and Ice    | 127      | 278022685      | 2025-03-28 00:00:00+00 | 2025-08-01 23:59:59+00 | 120           |
|                                                      | Extent                         |          |                |                        |                        |               |
| NPR_MIRS_IMG                                         | MIRS NUP IMG file containing   | 1004362  | 381220662530   | 2025-03-28 23:04:31+00 | 2025-08-02 02:33:38+00 | 120           |
|                                                      | imagery data associated with   |          |                |                        |                        |               |
|                                                      | microwave retrievals           |          |                |                        |                        |               |
| NPR-MIRS-IMG-33MIN-V11                               | MIRS NUP IMG file containing   | 12167    | 77423087710    | 2025-04-27 22:06:36+00 | 2025-08-01 23:50:58+00 | 90            |
|                                                      | imagery data associated        |          |                |                        |                        |               |
|                                                      | with microwave retrievals      |          |                |                        |                        |               |
|                                                      | aggregated into 33 minute      |          |                |                        |                        |               |
|                                                      | files                          |          |                |                        |                        |               |
| NPR_MIRS_SND                                         | MIRS NUP SND  file containing  | 1004443  | 3337221689780  | 2025-03-28 23:05:03+00 | 2025-08-02 02:33:38+00 | 120           |
|                                                      | imagery data associated with   |          |                |                        |                        |               |
|                                                      | microwave retrievals           |          |                |                        |                        |               |
| NPR-MIRS-SND-33MIN-V11                               | MIRS NUP SND file containing   | 12183    | 559521406071   | 2025-04-27 22:06:36+00 | 2025-08-02 00:58:42+00 | 90            |
|                                                      | sounding data associated       |          |                |                        |                        |               |
|                                                      | with microwave retrievals      |          |                |                        |                        |               |
|                                                      | aggregated into 33 minute      |          |                |                        |                        |               |
|                                                      | files                          |          |                |                        |                        |               |
| NRL_IR_WINDS_600-800                                 | NAVY Cloud Winds (Infrared) at | 20       | 764559576      | 2025-07-11 00:00:00+00 | 2025-08-01 23:59:59+00 | 15            |
|                                                      | 601mb-800mb                    |          |                |                        |                        |               |
| NRL_IR_WINDS_800-1000                                | NAVY Cloud Winds (Infrared) at | 20       | 4351527293     | 2025-07-11 00:00:00+00 | 2025-08-01 23:59:59+00 | 15            |
|                                                      | 801mb-1000mb                   |          |                |                        |                        |               |
| NRL_VIS_WINDS_600-800                                | NAVY Cloud Winds (Visible) at  | 20       | 680555435      | 2025-07-11 00:00:00+00 | 2025-08-01 23:59:59+00 | 15            |
|                                                      | 601mb-800mb                    |          |                |                        |                        |               |
| NRL_VIS_WINDS_800-1000                               | NAVY Cloud Winds (Visible) at  | 20       | 7601821186     | 2025-07-11 00:00:00+00 | 2025-08-01 23:59:59+00 | 15            |
|                                                      | 801mb-1000mb                   |          |                |                        |                        |               |
| NRL_WV_WINDS_600-800                                 | NAVY Cloud Winds (Water Vapor) | 20       | 586448665      | 2025-07-11 00:00:00+00 | 2025-08-01 23:59:59+00 | 15            |
